country_sk,data
3924,"{""gdp"": 11937562, ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""population"": 1409517397, ""country_name"": ""China""}"
3925,"{""gdp"": 2439008, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 1339180127, ""country_name"": ""India""}"
3926,"{""gdp"": 19362129, ""region"": ""Northern America"", ""continent"": ""Americas"", ""population"": 324459463, ""country_name"": ""United States""}"
3927,"{""gdp"": 1010937, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 263991379, ""country_name"": ""Indonesia""}"
3928,"{""gdp"": 2080916, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 209288278, ""country_name"": ""Brazil""}"
3929,"{""gdp"": 304400, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 197015955, ""country_name"": ""Pakistan""}"
3930,"{""gdp"": 394818, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 190886311, ""country_name"": ""Nigeria""}"
3931,"{""gdp"": 250023, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 164669751, ""country_name"": ""Bangladesh""}"
3932,"{""gdp"": 1469341, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 143989754, ""country_name"": ""Russia""}"
3933,"{""gdp"": 1142453, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 129163276, ""country_name"": ""Mexico""}"
3934,"{""gdp"": 4884489, ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""population"": 127484450, ""country_name"": ""Japan""}"
3935,"{""gdp"": 79735, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 104957438, ""country_name"": ""Ethiopia""}"
3936,"{""gdp"": 321189, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 104918090, ""country_name"": ""Philippines""}"
3937,"{""gdp"": 408045, ""region"": ""Northern Africa"", ""continent"": ""Africa"", ""population"": 97553151, ""country_name"": ""Egypt""}"
3938,"{""gdp"": 215963, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 95540800, ""country_name"": ""Vietnam""}"
3939,"{""gdp"": 3651871, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 82114224, ""country_name"": ""Germany""}"
3940,"{""gdp"": 7799, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 81339988, ""country_name"": ""Democratic Republic of the Congo""}"
3941,"{""gdp"": 427666, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 81162788, ""country_name"": ""Iran""}"
3942,"{""gdp"": 841206, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 80745020, ""country_name"": ""Turkey""}"
3943,"{""gdp"": 437807, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 69037513, ""country_name"": ""Thailand""}"
